Date,Rank,Song,Artist,Song_Key,Genre,Date_Index,State,New_Spell,Spell_Number,Days_On_Chart,Total_Appearances,Artist_Past_Appearances,Prev_Rank,Delta_R,Volatility_So_Far,Rank_Velocity,Is_New_Entry,Next_Date,Next_Rank,Observed_Next_State,Next_State,Top10_Tomorrow,Exit_Tomorrow
2026-03-16,11,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,anuv jain || arz kiya hai | coke studio bharat,Hindi Indie,1,11-25,False,1,2,2,1,12.0,-1.0,0.0,-1.0,False,2026-03-17,11.0,11-25,11-25,0,0
2026-03-16,12,Shararat,Shashwat Sachdev,shashwat sachdev || shararat,Hindi Film,1,11-25,False,1,2,2,201,9.0,3.0,0.0,3.0,False,2026-03-17,12.0,11-25,11-25,0,0
2026-03-16,13,Bairi,Virat,virat || bairi,Punjabi-Haryanvi Pop,1,11-25,False,1,2,2,1,13.0,0.0,0.0,0.0,False,2026-03-17,14.0,11-25,11-25,0,0
2026-03-16,14,Ishq,Faheem Abdullah,faheem abdullah || ishq,Hindi Indie,1,11-25,False,1,2,2,22,14.0,0.0,0.0,0.0,False,2026-03-17,13.0,11-25,11-25,0,0
2026-03-16,15,For A Reason,Karan Aujla,karan aujla || for a reason,Punjabi-Haryanvi Pop,1,11-25,False,1,2,2,22,15.0,0.0,0.0,0.0,False,2026-03-17,15.0,11-25,11-25,0,0
2026-03-16,16,Boyfriend,Karan Aujla,karan aujla || boyfriend,Punjabi-Haryanvi Pop,1,11-25,False,1,2,2,1,18.0,-2.0,0.0,-2.0,False,2026-03-17,16.0,11-25,11-25,0,0
2026-03-16,17,Saiyaara,Tanishk Bagchi,tanishk bagchi || saiyaara,Hindi Film,1,11-25,False,1,2,2,1,16.0,1.0,0.0,1.0,False,2026-03-17,18.0,11-25,11-25,0,0
2026-03-16,18,Mann Mera,Gajendra Verma,gajendra verma || mann mera,Hindi Indie,1,11-25,False,1,2,2,1,17.0,1.0,0.0,1.0,False,2026-03-17,17.0,11-25,11-25,0,0
2026-03-16,19,Raanjhan,Sachet-Parampara,sachet-parampara || raanjhan,Hindi Film,1,11-25,False,1,2,2,1,20.0,-1.0,0.0,-1.0,False,2026-03-17,21.0,11-25,11-25,0,0
2026-03-16,20,Ishqa Ve,Zeeshan Ali,zeeshan ali || ishqa ve,Hindi Indie,1,11-25,False,1,2,2,1,19.0,1.0,0.0,1.0,False,2026-03-17,19.0,11-25,11-25,0,0
