Date,Rank,Song,Artist,Genre,Date_Index,State,New_Spell,Spell_Number,Days_On_Chart,Total_Appearances,Artist_Past_Appearances,Prev_Rank,Delta_R,Volatility_So_Far,Is_New_Entry,Next_Date,Next_Rank,Observed_Next_State,Next_State,Top10_Tomorrow,Exit_Tomorrow
2026-03-16,35,"Barbaad (From ""Saiyaara"")","The Rish, Jubin Nautiyal",,1,26-50,False,1,2,2,1,40.0,-5.0,0.0,False,2026-03-17,36.0,26-50,26-50,0,0
2026-03-16,36,Ehsaas,"Faheem Abdullah, Duha Shah, Vaibhav Pani, Hyder Dar",,1,26-50,False,1,2,2,1,37.0,-1.0,0.0,False,2026-03-17,38.0,26-50,26-50,0,0
2026-03-16,37,Zaalima,"Arijit Singh, Harshdeep Kaur",,1,26-50,False,1,2,2,1,33.0,4.0,0.0,False,2026-03-17,39.0,26-50,26-50,0,0
2026-03-16,38,"Mast Magan (From ""2 States)","Arijit Singh, Chinmayi",,1,26-50,False,1,2,2,1,38.0,0.0,0.0,False,2026-03-17,37.0,26-50,26-50,0,0
2026-03-16,39,Lutt Le Gaya,"Shashwat Sachdev, Simran Choudhary",,1,26-50,False,1,2,2,1,39.0,0.0,0.0,False,2026-03-17,41.0,26-50,26-50,0,0
2026-03-16,40,Teri Deewani,"Kailash Kher, Paresh Kamath, Naresh Kamath",,1,26-50,False,1,2,2,1,41.0,-1.0,0.0,False,2026-03-17,40.0,26-50,26-50,0,0
2026-03-16,41,"Humdard (From ""Ek Villain"")",Arijit Singh,,1,26-50,False,1,2,2,1,43.0,-2.0,0.0,False,2026-03-17,46.0,26-50,26-50,0,0
2026-03-16,42,Thodi Si Daaru,"AP Dhillon, Shreya Ghoshal",,1,26-50,False,1,2,2,1,44.0,-2.0,0.0,False,2026-03-17,42.0,26-50,26-50,0,0
2026-03-16,43,KALYANI,"ARJN, KDS, FIFTY4, RONN",,1,26-50,False,1,2,2,1,36.0,7.0,0.0,False,2026-03-17,44.0,26-50,26-50,0,0
2026-03-16,44,Ishq Jalakar - Karvaan,"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",,1,26-50,False,1,2,2,1,45.0,-1.0,0.0,False,2026-03-17,45.0,26-50,26-50,0,0
2026-03-16,45,Mann Mera - Original Version,Gajendra Verma,,1,26-50,False,1,2,2,9,47.0,-2.0,0.0,False,2026-03-17,50.0,26-50,26-50,0,0
2026-03-16,46,Kithe Reh Gaya,"Neeti Mohan, Abhijit Vaghani",,1,26-50,False,1,2,2,1,46.0,0.0,0.0,False,2026-03-17,43.0,26-50,26-50,0,0
2026-03-16,47,Aakh Ye Taalibaani,"Manish Sonipat Aala, Bali Sharma, Vampire",,1,26-50,True,1,1,1,0,,,0.0,True,2026-03-17,,,Exit,0,1
2026-03-16,48,Ucha Lamba Kad,"Anand Raj Anand, Kalpana Patowary, Chorus",,1,26-50,True,1,1,1,0,,,0.0,True,2026-03-17,,,Exit,0,1
2026-03-16,49,High On You,Jind Universe,,1,26-50,False,1,2,2,1,50.0,-1.0,0.0,False,2026-03-17,49.0,26-50,26-50,0,0
2026-03-16,50,Tu Na Samjhe,"Hellow Raja, MaxxTurnn",,1,26-50,False,1,2,2,1,35.0,15.0,0.0,False,2026-03-17,,,Exit,0,1
2026-03-17,1,Bairan,Banjaare,Hindi Indie,2,Top10,False,1,3,3,2,1.0,0.0,0.0,False,2026-03-18,1.0,Top10,Top10,1,0
2026-03-17,2,Sheesha - Aakhya Mai Aakh Ghali Jo Bairan,"Mitta Ror, Swara Verma",,2,Top10,False,1,3,3,2,2.0,0.0,0.0,False,2026-03-18,2.0,Top10,Top10,1,0
2026-03-17,3,Gehra Hua,"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",,2,Top10,False,1,3,3,2,3.0,0.0,0.0,False,2026-03-18,3.0,Top10,Top10,1,0
2026-03-17,4,Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",,2,Top10,False,1,3,3,2,4.0,0.0,0.5,False,2026-03-18,4.0,Top10,Top10,1,0
2026-03-17,5,Khat,Navjot Ahuja,Hindi Indie,2,Top10,False,1,3,3,2,5.0,0.0,0.5,False,2026-03-18,5.0,Top10,Top10,1,0
2026-03-17,6,Sahiba,Aditya Rikhari,Hindi Indie,2,Top10,False,1,3,3,2,6.0,0.0,1.0,False,2026-03-18,6.0,Top10,Top10,1,0
2026-03-17,7,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",,2,Top10,False,1,3,3,2,7.0,0.0,0.0,False,2026-03-18,8.0,Top10,Top10,1,0
2026-03-17,8,"Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",,2,Top10,False,1,3,3,2,8.0,0.0,0.0,False,2026-03-18,7.0,Top10,Top10,1,0
2026-03-17,9,Finding Her,"Kushagra, Bharath, Saaheal",,2,Top10,False,1,3,3,2,10.0,-1.0,0.5,False,2026-03-18,9.0,Top10,Top10,1,0
2026-03-17,10,Apna Bana Le,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",,2,Top10,False,1,3,3,2,9.0,1.0,1.5,False,2026-03-18,10.0,Top10,Top10,1,0
2026-03-17,11,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,Hindi Indie,2,11-25,False,1,3,3,2,11.0,0.0,0.5,False,2026-03-18,11.0,11-25,11-25,0,0
2026-03-17,12,Shararat,"Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",,2,11-25,False,1,3,3,2,12.0,0.0,1.5,False,2026-03-18,15.0,11-25,11-25,0,0
2026-03-17,13,Ishq,"Faheem Abdullah, Rauhan Malik, Amir Ameer",,2,11-25,False,1,3,3,2,14.0,-1.0,0.5,False,2026-03-18,16.0,11-25,11-25,0,0
2026-03-17,14,Bairi,"Virat, Pradeep Solanki, Heena",,2,11-25,False,1,3,3,2,13.0,1.0,0.5,False,2026-03-18,13.0,11-25,11-25,0,0
2026-03-17,15,For A Reason,"Karan Aujla, Ikky",,2,11-25,False,1,3,3,9,15.0,0.0,0.0,False,2026-03-18,12.0,11-25,11-25,0,0
2026-03-17,16,Boyfriend,"Karan Aujla, Ikky",,2,11-25,False,1,3,3,2,16.0,0.0,1.0,False,2026-03-18,14.0,11-25,11-25,0,0
2026-03-17,17,Mann Mera,Gajendra Verma,Hindi Indie,2,11-25,False,1,3,3,2,18.0,-1.0,1.0,False,2026-03-18,18.0,11-25,11-25,0,0
2026-03-17,18,Saiyaara,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil",,2,11-25,False,1,3,3,2,17.0,1.0,0.0,False,2026-03-18,19.0,11-25,11-25,0,0
2026-03-17,19,Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",,2,11-25,False,1,3,3,2,20.0,-1.0,1.0,False,2026-03-18,23.0,11-25,11-25,0,0
2026-03-17,20,Tere Liye,"Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan",,2,11-25,False,1,3,3,2,21.0,-1.0,0.5,False,2026-03-18,26.0,26-50,26-50,0,0
2026-03-17,21,"Raanjhan (From ""Do Patti"")","Sachet-Parampara, Parampara Tandon, Kausar Munir",,2,11-25,False,1,3,3,2,19.0,2.0,1.5,False,2026-03-18,22.0,11-25,11-25,0,0
2026-03-17,22,"Pavazha Malli - From ""Think Indie""","Sai Abhyankkar, Shruti Haasan, Vivek",,2,11-25,False,1,3,3,2,22.0,0.0,2.0,False,2026-03-18,17.0,11-25,11-25,0,0
2026-03-17,23,Dhurandhar - Title Track,"Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan",,2,11-25,False,1,3,3,2,23.0,0.0,0.5,False,2026-03-18,20.0,11-25,11-25,0,0
2026-03-17,24,Deewaana Deewaana,"A.R. Rahman, Irshad Kamil",,2,11-25,False,1,3,3,2,24.0,0.0,0.5,False,2026-03-18,24.0,11-25,11-25,0,0
2026-03-17,25,Jo Tum Mere Ho,Anuv Jain,Hindi Indie,2,11-25,False,1,3,3,10,25.0,0.0,1.0,False,2026-03-18,32.0,26-50,26-50,0,0
2026-03-17,26,Tere Bina,"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",,2,26-50,False,1,3,3,2,26.0,0.0,1.0,False,2026-03-18,27.0,26-50,26-50,0,0
2026-03-17,27,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh",,2,26-50,False,1,3,3,2,27.0,0.0,0.5,False,2026-03-18,30.0,26-50,26-50,0,0
2026-03-17,28,"Tum Ho Toh (From ""Saiyaara"")","Vishal Mishra, Hansika Pareek, Raj Shekhar",,2,26-50,False,1,3,3,2,30.0,-2.0,1.0,False,2026-03-18,31.0,26-50,26-50,0,0
2026-03-17,29,"Aaya Sher (From ""The Paradise"") (Telugu)","Anirudh Ravichander, Jangi Reddy, Arjun Chandy, Kasarla Shyam",,2,26-50,False,1,3,3,2,28.0,1.0,0.0,False,2026-03-18,29.0,26-50,26-50,0,0
2026-03-17,30,Haseen,"Talwiinder, NDS, Rippy Grewal",,2,26-50,False,1,3,3,2,29.0,1.0,0.5,False,2026-03-18,33.0,26-50,26-50,0,0
2026-03-17,31,Darkhaast,"Mithoon, Arijit Singh, Sunidhi Chauhan, Sayeed Quadri",,2,26-50,False,1,3,3,2,31.0,0.0,1.5,False,2026-03-18,25.0,11-25,11-25,0,0
