Date,Rank,Song,Artist,Genre,Date_Index,State,New_Spell,Spell_Number,Days_On_Chart,Total_Appearances,Artist_Past_Appearances,Prev_Rank,Delta_R,Volatility_So_Far,Rank_Velocity,Is_New_Entry,Next_Date,Next_Rank,Observed_Next_State,Next_State,Top10_Tomorrow,Exit_Tomorrow
2026-03-11,28,Darkhaast,Mithoon,Hindi Film,1,26-50,False,1,2,2,1,28.0,0.0,0.0,0.0,False,2026-03-12,32.0,26-50,26-50,0,0
2026-03-11,29,Pavazha Malli,Sai Abhyankkar,South Indian Film,1,26-50,False,1,2,2,7,31.0,-2.0,0.0,-2.0,False,2026-03-12,23.0,11-25,11-25,0,0
2026-03-11,30,Haseen,Talwiinder,Punjabi-Haryanvi Pop,1,26-50,False,1,2,2,1,29.0,1.0,0.0,1.0,False,2026-03-12,30.0,26-50,26-50,0,0
2026-03-11,31,Tum Ho Toh,Vishal Mishra,Hindi Film,1,26-50,False,1,2,2,1,30.0,1.0,0.0,1.0,False,2026-03-12,29.0,26-50,26-50,0,0
2026-03-11,32,Not Guilty,Dhanda Nyoliwala,Punjabi-Haryanvi Pop,1,26-50,False,1,2,2,1,32.0,0.0,0.0,0.0,False,2026-03-12,31.0,26-50,26-50,0,0
2026-03-11,33,Ye Tune Kya Kiya,Pritam,Hindi Film,1,26-50,False,1,2,2,3,33.0,0.0,0.0,0.0,False,2026-03-12,35.0,26-50,26-50,0,0
2026-03-11,34,Ehsaas,Faheem Abdullah,Hindi Indie,1,26-50,False,1,2,2,1,37.0,-3.0,0.0,-3.0,False,2026-03-12,36.0,26-50,26-50,0,0
2026-03-11,35,Barbaad,The Rish,Hindi Indie,1,26-50,False,1,2,2,1,34.0,1.0,0.0,1.0,False,2026-03-12,37.0,26-50,26-50,0,0
2026-03-11,36,Teri Deewani,Kailash Kher,Hindi Film,1,26-50,False,1,2,2,1,36.0,0.0,0.0,0.0,False,2026-03-12,41.0,26-50,26-50,0,0
2026-03-11,37,Lutt Le Gaya,Shashwat Sachdev,Hindi Film,1,26-50,False,1,2,2,265,41.0,-4.0,0.0,-4.0,False,2026-03-12,34.0,26-50,26-50,0,0
